"Label","N","LB5_Z","LB10_Z","LB5_absZ","LB10_absZ","SW","JB"
"A0_AAA | RW w/o SV",353,"0.0831","0.3819","0**","0**","0**","0**"
"A0_AAA | RW with SV",353,"0.9485","0.9924","1e-04**","0**","0**","0**"
"A0_AAA | AR(1) w/o SV",353,"0.0769","0.3731","0**","0**","0**","0**"
"A0_AAA | AR(1) with SV",353,"0.9345","0.9917","0**","0**","0**","0**"
"A0_AA | RW w/o SV",353,"0.1652","0.3524","0**","0**","0**","0**"
"A0_AA | RW with SV",353,"0.9258","0.7231","6e-04**","0**","4e-04**","0**"
"A0_AA | AR(1) w/o SV",353,"0.1366","0.2975","0**","0**","0**","0**"
"A0_AA | AR(1) with SV",353,"0.9371","0.7541","4e-04**","0**","2e-04**","0**"
"A0_A | RW w/o SV",353,"0.0103*","0.022*","0**","0**","0**","0**"
"A0_A | RW with SV",353,"0.6954","0.6487","0**","0**","0**","0**"
"A0_A | AR(1) w/o SV",353,"0.0072**","0.0171*","0**","0**","0**","0**"
"A0_A | AR(1) with SV",353,"0.6742","0.6087","0**","0**","0**","0**"
"A0_BBB | RW w/o SV",353,"0.1966","0.1459","0**","0**","0**","0**"
"A0_BBB | RW with SV",353,"0.3894","0.3587","3e-04**","0**","4e-04**","0**"
"A0_BBB | AR(1) w/o SV",353,"0.1242","0.123","0**","0**","0**","0**"
"A0_BBB | AR(1) with SV",353,"0.2319","0.2173","6e-04**","0**","0.0012**","4e-04**"
"A0_BB | RW w/o SV",353,"0.4135","0.3234","0**","0**","0**","0**"
"A0_BB | RW with SV",353,"0.7719","0.7672","8e-04**","0.0077**","6e-04**","0**"
"A0_BB | AR(1) w/o SV",353,"0.2706","0.3633","0**","0**","0**","0**"
"A0_BB | AR(1) with SV",353,"0.2168","0.3372","0.0078**","0.0799","0.0027**","0**"
"A0_B | RW w/o SV",353,"0.0028**","0.0133*","0**","0**","0**","0**"
"A0_B | RW with SV",353,"0.2046","0.4807","0**","0**","2e-04**","0**"
"A0_B | AR(1) w/o SV",353,"0.0016**","0.0153*","0**","0**","0**","0**"
"A0_B | AR(1) with SV",353,"0.0084**","0.0255*","0.0035**","0.0059**","1e-04**","0**"
"A0_CCC | RW w/o SV",353,"0**","1e-04**","0**","0**","0**","0**"
"A0_CCC | RW with SV",353,"0.0023**","0.0159*","0**","0**","0**","0**"
"A0_CCC | AR(1) w/o SV",353,"0**","1e-04**","0**","0**","0**","0**"
"A0_CCC | AR(1) with SV",353,"0**","0**","0**","0**","0**","0**"
"A1_AAA | RW w/o SV",353,"0.6291","0.9289","0**","0**","0**","0**"
"A1_AAA | RW with SV",353,"0.7366","0.9652","0**","0**","0**","0**"
"A1_AAA | AR(1) w/o SV",353,"0.5223","0.8836","0**","0**","0**","0**"
"A1_AAA | AR(1) with SV",353,"0.7578","0.9583","0**","0**","0**","0**"
"A1_AA | RW w/o SV",353,"0.2553","0.3094","0**","0**","0**","0**"
"A1_AA | RW with SV",353,"0.6377","0.7098","0**","0**","1e-04**","0**"
"A1_AA | AR(1) w/o SV",353,"0.1979","0.238","0**","0**","0**","0**"
"A1_AA | AR(1) with SV",353,"0.6827","0.7335","0**","0**","4e-04**","0**"
"A1_A | RW w/o SV",353,"0.0915","0.0549","0**","0**","0**","0**"
"A1_A | RW with SV",353,"0.2939","0.3648","0**","0**","2e-04**","0**"
"A1_A | AR(1) w/o SV",353,"0.0631","0.038*","0**","0**","0**","0**"
"A1_A | AR(1) with SV",353,"0.2783","0.3225","0**","0**","0.001**","0**"
"A1_BBB | RW w/o SV",353,"0.6163","0.2199","0**","0**","0**","0**"
"A1_BBB | RW with SV",353,"0.2471","0.2064","0**","0**","5e-04**","1e-04**"
"A1_BBB | AR(1) w/o SV",353,"0.4838","0.1824","0**","0**","0**","0**"
"A1_BBB | AR(1) with SV",353,"0.1245","0.1088","0**","0**","0.0012**","0.0015**"
"A1_BB | RW w/o SV",353,"0.4621","0.5652","0**","0**","0**","0**"
"A1_BB | RW with SV",353,"0.7179","0.7122","0**","0**","1e-04**","0**"
"A1_BB | AR(1) w/o SV",353,"0.4217","0.6182","0**","0**","0**","0**"
"A1_BB | AR(1) with SV",353,"0.4503","0.552","0**","0**","7e-04**","2e-04**"
"A1_B | RW w/o SV",353,"0.3502","0.6925","0**","0**","0**","0**"
"A1_B | RW with SV",353,"0.8026","0.8281","0**","0**","0.0049**","0.0051**"
"A1_B | AR(1) w/o SV",353,"0.2845","0.6768","0**","0**","0**","0**"
"A1_B | AR(1) with SV",353,"0.2562","0.2194","8e-04**","0.0015**","0.0145*","0.0424*"
"A1_CCC | RW w/o SV",353,"3e-04**","0.0018**","0**","0**","0**","0**"
"A1_CCC | RW with SV",353,"0.0105*","0.0303*","0.0079**","0.0417*","0.3098","0.3212"
"A1_CCC | AR(1) w/o SV",353,"1e-04**","6e-04**","0**","0**","0**","0**"
"A1_CCC | AR(1) with SV",353,"0**","0**","0.0059**","0.0397*","0.3495","0.1184"
"B0_AA-AAA | RW w/o SV",353,"0**","0**","0**","0**","0**","0**"
"B0_AA-AAA | RW with SV",353,"1e-04**","0.0011**","0**","0**","0**","0**"
"B0_AA-AAA | AR(1) w/o SV",353,"0**","0**","0**","0**","0**","0**"
"B0_AA-AAA | AR(1) with SV",353,"1e-04**","4e-04**","0**","0**","0**","0**"
"B0_A-AAA | RW w/o SV",353,"1e-04**","1e-04**","0**","0**","0**","0**"
"B0_A-AAA | RW with SV",353,"0.0442*","0.0584","0**","0**","0**","0**"
"B0_A-AAA | AR(1) w/o SV",353,"2e-04**","3e-04**","0**","0**","0**","0**"
"B0_A-AAA | AR(1) with SV",353,"0.0015**","5e-04**","0**","0**","0**","0**"
"B0_BBB-AAA | RW w/o SV",353,"0.0641","0.0378*","0**","0**","0**","0**"
"B0_BBB-AAA | RW with SV",353,"0.5623","0.7931","0**","0**","0**","0**"
"B0_BBB-AAA | AR(1) w/o SV",353,"0.0578","0.09","0**","0**","0**","0**"
"B0_BBB-AAA | AR(1) with SV",353,"0.0012**","4e-04**","0**","0**","0**","0**"
"B0_BB-AAA | RW w/o SV",353,"0.181","0.0259*","0**","0**","0**","0**"
"B0_BB-AAA | RW with SV",353,"0.2452","0.3491","0.0059**","2e-04**","0**","0**"
"B0_BB-AAA | AR(1) w/o SV",353,"0.168","0.0658","0**","0**","0**","0**"
"B0_BB-AAA | AR(1) with SV",353,"0.0179*","0.0069**","5e-04**","8e-04**","0.0042**","0**"
"B0_B-AAA | RW w/o SV",353,"0.0019**","0.0021**","0**","0**","0**","0**"
"B0_B-AAA | RW with SV",353,"0.1702","0.3101","1e-04**","2e-04**","2e-04**","0**"
"B0_B-AAA | AR(1) w/o SV",353,"0.0016**","0.0039**","0**","0**","0**","0**"
"B0_B-AAA | AR(1) with SV",353,"0.0019**","0.0016**","0.0167*","0.0197*","0**","0**"
"B0_CCC-AAA | RW w/o SV",353,"0**","1e-04**","0**","0**","0**","0**"
"B0_CCC-AAA | RW with SV",353,"0.0018**","0.0221*","0**","0**","0**","0**"
"B0_CCC-AAA | AR(1) w/o SV",353,"0**","1e-04**","0**","0**","0**","0**"
"B0_CCC-AAA | AR(1) with SV",353,"0**","0**","0**","0**","0**","0**"
"B1_BBB-AAA | RW w/o SV",353,"0.5279","0.7828","0**","0**","0**","0**"
"B1_BBB-AAA | RW with SV",353,"0.4016","0.2409","0.013*","0.0146*","0**","0**"
"B1_BBB-AAA | AR(1) w/o SV",353,"0.4767","0.7329","0**","0**","0**","0**"
"B1_BBB-AAA | AR(1) with SV",353,"0.04*","0.0021**","6e-04**","2e-04**","1e-04**","0**"
"B1_BB-AAA | RW w/o SV",353,"0.4133","0.417","0.007**","0.0346*","0**","0**"
"B1_BB-AAA | RW with SV",353,"0.0876","0.319","0**","0**","5e-04**","6e-04**"
"B1_BB-AAA | AR(1) w/o SV",353,"0.4252","0.5433","0.0082**","0.0382*","0**","0**"
"B1_BB-AAA | AR(1) with SV",353,"0.0658","0.2257","0**","0**","6e-04**","1e-04**"
"B1_B-AAA | RW w/o SV",353,"0.1524","0.3976","0.0186*","0.1165","0**","0**"
"B1_B-AAA | RW with SV",353,"0.3864","0.6447","7e-04**","0.003**","0.0054**","6e-04**"
"B1_B-AAA | AR(1) w/o SV",353,"0.1363","0.404","0.0298*","0.1924","0**","0**"
"B1_B-AAA | AR(1) with SV",353,"0.2391","0.2784","0.0081**","0.0224*","0.0126*","9e-04**"
